employee_number,age,tenure,turnover,hourly_rate,hours_weekly,compensation_type,annual_salary,driving_commuter_distance,job_role_area,gender,marital_status,num_companies_previously_worked,annual_professonal_dev_hrs,pay_check_method,text_message_optin,commute_distance_category
2539,31,9,Yes,24.98,40,Salary,53358.4,58.0,Sales,Female,Divorced,2,16.0,Mailed Check,Yes,"(-0.85, 95.09]"
2540,28,6,No,22.73,40,Salary,47278.4,87.0,Laboratory,Female,Single,1,22.0,Direct Deposit,Yes,"(-0.85, 95.09]"
2541,33,9,No,23.76,40,Salary,49420.8,10.0,Human Resources,Female,Divorced,3,10.0,Direct Deposit,Yes,"(-0.85, 95.09]"
2542,46,14,Yes,64.26,40,Salary,133660.8,0.1,Information Technology,Female,Single,6,17.0,Mailed Check,Yes,"(-0.85, 95.09]"
2543,54,12,No,48.09,40,Salary,100027.2,46.0,Sales,Male,Single,5,20.0,Mailed Check,Yes,"(-0.85, 95.09]"
2544,32,1,Yes,25.56,40,Salary,53164.8,67.0,Human Resources,Female,Single,3,19.0,Mailed Check,Yes,"(-0.85, 95.09]"
2545,49,5,No,65.46,40,Salary,136156.8,47.0,Healthcare,Female,Divorced,4,5.0,Mailed Check,Yes,"(-0.85, 95.09]"
2546,54,15,Yes,93.79,40,Salary,335083.2,0.1,Laboratory,Male,Divorced,9,15.0,Mailed Check,Yes,"(-0.85, 95.09]"
2547,61,18,No,78.34,40,Salary,162947.2,75.0,Human Resources,Male,Divorced,5,12.0,Mailed Check,Yes,"(-0.85, 95.09]"
2548,40,5,No,28.25,40,Salary,58760.0,58.0,Manufacturing,Female,Single,9,15.0,Mailed Check,Yes,"(-0.85, 95.09]"
2549,42,10,No,76.55,40,Salary,159224.0,32.0,Laboratory,Female,Single,4,15.0,Mailed Check,Yes,"(-0.85, 95.09]"
2550,56,20,No,38.15,40,Salary,79352.0,35.0,Research,Male,Single,2,17.0,Mailed Check,Yes,"(-0.85, 95.09]"
2551,49,20,No,92.65,40,Salary,332712.0,250.0,Research,Male,Divorced,1,15.0,Mailed Check,Yes,"(190.08, 285.07]"
2552,43,5,No,55.28,40,Salary,114982.4,250.0,Sales,Male,Divorced,7,15.0,Mailed Check,Yes,"(190.08, 285.07]"
2553,60,11,No,92.67,40,Salary,332753.6,88.0,Information Technology,Female,Divorced,3,15.0,Direct Deposit,Yes,"(-0.85, 95.09]"
2554,53,8,No,53.85,40,Salary,112008.0,0.1,Sales,Female,Single,6,5.0,Mailed Check,Yes,"(-0.85, 95.09]"
2555,25,3,Yes,20.27,40,Salary,42161.6,60.0,Sales,Female,Single,1,23.0,Mailed Check,Yes,"(-0.85, 95.09]"
2556,51,17,Yes,73.45,40,Salary,152776.0,41.0,Research,Female,Divorced,3,20.0,Mailed Check,Yes,"(-0.85, 95.09]"
2557,34,1,No,25.26,40,Salary,52540.8,21.0,Research,Male,Married,2,15.0,Mailed Check,Yes,"(-0.85, 95.09]"
2558,56,13,Yes,71.63,40,Salary,148990.4,72.0,Marketing,Female,Single,5,11.0,Direct Deposit,Yes,"(-0.85, 95.09]"
2559,44,13,No,50.27,40,Salary,104561.6,5.0,Information Technology,Female,Married,9,7.0,Mailed Check,Yes,"(-0.85, 95.09]"
2560,44,8,No,85.16,40,Salary,177132.8,0.1,Research,Female,Divorced,5,23.0,Mailed Check,Yes,"(-0.85, 95.09]"
2561,40,6,No,39.28,40,Salary,81494.4,68.0,Laboratory,Male,Single,7,8.0,Mailed Check,Yes,"(-0.85, 95.09]"
2562,60,11,No,78.43,40,Salary,163134.4,68.0,Human Resources,Female,Single,4,24.0,Mailed Check,Yes,"(-0.85, 95.09]"
2563,49,7,Yes,89.71,40,Salary,286596.8,35.0,Sales,Female,Divorced,2,23.0,Mailed Check,Yes,"(-0.85, 95.09]"
2564,37,7,No,88.49,40,Salary,284059.2,33.0,Information Technology,Female,Single,1,6.0,Mailed Check,Yes,"(-0.85, 95.09]"
2565,61,18,No,74.89,40,Salary,155771.2,45.0,Healthcare,Female,Divorced,5,9.0,Mailed Check,Yes,"(-0.85, 95.09]"
2566,53,8,Yes,32.23,40,Salary,67038.4,72.0,Research,Male,Divorced,5,6.0,Mailed Check,Yes,"(-0.85, 95.09]"
2567,34,6,Yes,27.23,40,Salary,56638.4,0.1,Information Technology,Female,Single,6,15.0,Direct Deposit,Yes,"(-0.85, 95.09]"
2568,60,15,Yes,33.56,40,Salary,69804.8,63.0,Human Resources,Male,Married,5,21.0,Mailed Check,Yes,"(-0.85, 95.09]"
2569,37,6,No,64.11,40,Salary,133348.8,80.0,Healthcare,Male,Divorced,5,15.0,Mailed Check,Yes,"(-0.85, 95.09]"
2570,42,4,No,49.62,40,Salary,103209.6,4.0,Information Technology,Male,Married,2,25.0,Mailed Check,Yes,"(-0.85, 95.09]"
2571,39,5,No,45.31,40,Salary,94244.8,88.0,Research,Female,Married,6,15.0,Mailed Check,Yes,"(-0.85, 95.09]"
2572,61,12,No,78.99,40,Salary,164299.2,0.1,Human Resources,Female,Married,5,11.0,Mailed Check,Yes,"(-0.85, 95.09]"
2573,40,7,No,42.28,40,Salary,87734.4,69.0,Information Technology,Male,Single,4,7.0,Mailed Check,Yes,"(-0.85, 95.09]"
2574,33,10,Yes,26.35,40,Salary,54808.0,22.0,Laboratory,Male,Married,2,21.0,Mailed Check,Yes,"(-0.85, 95.09]"
2575,37,5,No,85.49,40,Salary,177833.2,17.0,Information Technology,Female,Divorced,4,13.0,Mailed Check,Yes,"(-0.85, 95.09]"
2576,26,3,No,21.94,40,Salary,45635.2,73.0,Information Technology,Female,Married,1,23.0,Mailed Check,Yes,"(-0.85, 95.09]"
2577,43,6,Yes,82.05,40,Salary,170664.0,59.0,Research,Female,Married,9,12.0,Direct Deposit,Yes,"(-0.85, 95.09]"
2578,24,1,Yes,21.73,40,Salary,45338.4,71.0,Sales,Male,Married,2,12.0,Mailed Check,Yes,"(-0.85, 95.09]"
2579,59,18,No,96.08,40,Salary,339240.08,66.0,Sales,Female,Married,5,15.0,Mailed Check,Yes,"(-0.85, 95.09]"
2580,29,5,No,23.6,40,Salary,49088.0,250.0,Marketing,Female,Divorced,1,11.0,Mailed Check,Yes,"(190.08, 285.07]"
2581,54,13,No,68.08,40,Salary,141606.4,49.0,Human Resources,Female,Married,9,15.0,Mailed Check,Yes,"(-0.85, 95.09]"
2582,39,7,No,93.16,40,Salary,333772.8,0.1,Sales,Female,Divorced,6,15.0,Mailed Check,Yes,"(-0.85, 95.09]"
2583,37,6,Yes,34.85,40,Salary,72488.0,38.0,Sales,Female,Single,3,8.0,Mailed Check,Yes,"(-0.85, 95.09]"
2584,58,17,No,81.07,40,Salary,168625.6,42.0,Human Resources,Male,Divorced,3,23.0,Mailed Check,Yes,"(-0.85, 95.09]"
2585,49,7,No,34.75,40,Salary,72280.0,35.0,Sales,Female,Single,6,6.0,Direct Deposit,Yes,"(-0.85, 95.09]"
2586,41,10,No,54.64,40,Salary,113651.2,83.0,Human Resources,Female,Divorced,9,15.0,Mailed Check,Yes,"(-0.85, 95.09]"
2587,49,5,No,53.66,40,Salary,111612.8,77.0,Information Technology,Female,Single,8,21.0,Mailed Check,Yes,"(-0.85, 95.09]"
2588,24,1,Yes,17.7,40,Salary,36816.0,0.1,Sales,Female,Married,3,24.0,Mailed Check,Yes,"(-0.85, 95.09]"
2589,53,8,No,47.4,40,Salary,98592.0,20.0,Research,Male,Single,3,15.0,Mailed Check,Yes,"(-0.85, 95.09]"
2590,41,3,Yes,44.98,40,Salary,93558.4,16.0,Sales,Male,Married,2,5.0,Mailed Check,Yes,"(-0.85, 95.09]"
2591,61,11,No,36.15,40,Salary,75332.0,0.1,Sales,Female,Divorced,6,15.0,Direct Deposit,Yes,"(-0.85, 95.09]"
2592,40,10,No,42.66,40,Salary,88732.8,45.0,Sales,Female,Divorced,4,17.0,Mailed Check,Yes,"(-0.85, 95.09]"
2593,41,9,No,48.48,40,Salary,100838.4,250.0,Information Technology,Male,Divorced,8,21.0,Mailed Check,Yes,"(190.08, 285.07]"
2594,41,9,No,82.83,40,Salary,172286.4,32.0,Research,Female,Divorced,1,5.0,Mailed Check,Yes,"(-0.85, 95.09]"
2595,56,9,Yes,46.35,40,Salary,96408.0,26.0,Sales,Male,Divorced,1,5.0,Direct Deposit,Yes,"(-0.85, 95.09]"
2596,21,1,Yes,20.63,40,Salary,42910.4,0.1,Marketing,Female,Married,3,22.0,Direct Deposit,Yes,"(-0.85, 95.09]"
2597,53,20,No,34.84,40,Salary,72467.2,0.1,Human Resources,Female,Single,5,9.0,Mailed Check,Yes,"(-0.85, 95.09]"
2598,53,11,Yes,63.09,40,Salary,131227.2,0.1,Manufacturing,Female,Divorced,3,11.0,Mailed Check,Yes,"(-0.85, 95.09]"
2599,31,2,No,24.94,40,Salary,52875.2,15.0,Research,Male,Divorced,1,15.0,Mailed Check,Yes,"(-0.85, 95.09]"
2600,51,10,Yes,72.85,40,Salary,151528.0,86.0,Marketing,Female,Divorced,7,23.0,Direct Deposit,Yes,"(-0.85, 95.09]"
2601,56,15,Yes,95.6,40,Salary,338848.0,250.0,Sales,Female,Divorced,8,20.0,Mailed Check,Yes,"(190.08, 285.07]"
2602,46,16,Yes,42.07,40,Salary,87505.6,87.0,Manufacturing,Male,Divorced,5,9.0,Mailed Check,Yes,"(-0.85, 95.09]"
2603,49,17,No,81.28,40,Salary,169062.4,8.0,Marketing,Female,Divorced,2,6.0,Mailed Check,Yes,"(-0.85, 95.09]"
2604,31,1,Yes,23.77,40,Salary,49441.6,20.0,Human Resources,Male,Married,1,23.0,Mailed Check,Yes,"(-0.85, 95.09]"
2605,50,14,Yes,50.1,40,Salary,104208.0,44.0,Information Technology,Female,Single,8,15.0,Mailed Check,Yes,"(-0.85, 95.09]"
2606,43,5,Yes,82.96,40,Salary,172556.8,87.0,Marketing,Female,Single,8,15.0,Direct Deposit,Yes,"(-0.85, 95.09]"
2607,36,6,Yes,50.48,40,Salary,104998.4,46.0,Human Resources,Male,Single,6,12.0,Mailed Check,Yes,"(-0.85, 95.09]"
2608,49,12,Yes,96.75,40,Salary,201240.0,62.0,Marketing,Male,Divorced,6,22.0,Mailed Check,Yes,"(-0.85, 95.09]"
2609,36,6,No,73.86,40,Salary,153628.8,5.0,Healthcare,Male,Divorced,2,6.0,Direct Deposit,Yes,"(-0.85, 95.09]"
2610,58,5,No,33.96,40,Salary,70636.8,0.1,Sales,Male,Married,4,9.0,Mailed Check,Yes,"(-0.85, 95.09]"
2611,42,8,Yes,71.36,40,Salary,148428.8,250.0,Laboratory,Female,Divorced,3,8.0,Mailed Check,Yes,"(190.08, 285.07]"
2612,37,1,No,53.68,40,Salary,111654.4,89.0,Research,Female,Married,4,15.0,Mailed Check,Yes,"(-0.85, 95.09]"
2613,35,10,Yes,26.24,40,Salary,54579.2,250.0,Information Technology,Male,Divorced,6,24.0,Mailed Check,Yes,"(190.08, 285.07]"
2614,58,13,No,35.98,40,Salary,74838.4,24.0,Healthcare,Male,Single,9,11.0,Mailed Check,Yes,"(-0.85, 95.09]"
2615,46,16,Yes,37.13,40,Salary,77230.4,81.0,Sales,Male,Divorced,7,6.0,Mailed Check,Yes,"(-0.85, 95.09]"
2616,40,9,Yes,90.57,40,Salary,288385.6,12.0,Research,Male,Married,4,14.0,Mailed Check,Yes,"(-0.85, 95.09]"
2617,25,3,Yes,17.55,40,Salary,36504.0,24.0,Marketing,Male,Married,2,24.0,Mailed Check,Yes,"(-0.85, 95.09]"
2618,46,18,Yes,55.96,40,Salary,116396.8,5.0,Laboratory,Male,Married,5,15.0,Mailed Check,Yes,"(-0.85, 95.09]"
2619,31,8,No,23.79,40,Salary,49483.2,250.0,Sales,Female,Divorced,1,9.0,Direct Deposit,Yes,"(190.08, 285.07]"
2620,48,10,Yes,37.73,40,Salary,78478.4,1.0,Information Technology,Male,Single,5,5.0,Direct Deposit,Yes,"(-0.85, 95.09]"
2621,61,17,No,96.2,40,Salary,200096.0,59.0,Healthcare,Female,Single,9,15.0,Mailed Check,Yes,"(-0.85, 95.09]"
2622,60,12,Yes,32.17,40,Salary,66913.6,68.0,Sales,Female,Divorced,4,6.0,Direct Deposit,Yes,"(-0.85, 95.09]"
2623,48,12,No,69.41,40,Salary,144372.8,39.0,Sales,Female,Divorced,7,17.0,Mailed Check,Yes,"(-0.85, 95.09]"
2624,26,3,No,20.03,40,Salary,41662.4,24.0,Research,Male,Married,2,21.0,Direct Deposit,Yes,"(-0.85, 95.09]"
2625,21,1,Yes,21.82,40,Salary,4385.6,37.0,Research,Male,Married,1,15.0,Mailed Check,Yes,"(-0.85, 95.09]"
2626,41,2,Yes,37.4,40,Salary,77792.0,55.0,Human Resources,Female,Divorced,4,9.0,Direct Deposit,Yes,"(-0.85, 95.09]"
2627,43,2,No,38.45,40,Salary,79976.0,250.0,Human Resources,Female,Married,4,15.0,Mailed Check,Yes,"(190.08, 285.07]"
2628,37,10,Yes,83.81,40,Salary,174324.8,31.0,Research,Male,Divorced,1,15.0,Mailed Check,Yes,"(-0.85, 95.09]"
2629,50,6,No,89.59,40,Salary,286347.2,9.0,Manufacturing,Female,Divorced,5,5.0,Mailed Check,Yes,"(-0.85, 95.09]"
2630,49,7,No,80.8,40,Salary,168064.0,1.0,Manufacturing,Female,Married,8,15.0,Mailed Check,Yes,"(-0.85, 95.09]"
2631,21,1,Yes,22.27,40,Salary,5321.6,64.0,Research,Female,Married,2,5.0,Direct Deposit,Yes,"(-0.85, 95.09]"
2632,38,1,Yes,69.7,40,Salary,144976.0,26.0,Laboratory,Female,Single,3,25.0,Mailed Check,Yes,"(-0.85, 95.09]"
2633,50,11,Yes,73.86,40,Salary,153628.8,21.0,Sales,Male,Single,1,19.0,Direct Deposit,Yes,"(-0.85, 95.09]"
2634,46,12,No,56.6,40,Salary,117728.0,68.0,Research,Female,Single,8,25.0,Direct Deposit,Yes,"(-0.85, 95.09]"
2635,33,4,No,30.97,40,Salary,64417.6,68.0,Human Resources,Male,Single,6,20.0,Mailed Check,Yes,"(-0.85, 95.09]"
2636,39,4,No,33.64,40,Salary,69971.2,75.0,Human Resources,Female,Married,5,11.0,Mailed Check,Yes,"(-0.85, 95.09]"
2637,38,1,Yes,29.06,40,Salary,60444.8,70.0,Human Resources,Female,Divorced,3,17.0,Mailed Check,Yes,"(-0.85, 95.09]"
2638,43,3,Yes,88.08,40,Salary,283206.4,17.0,Research,Female,Single,3,14.0,Mailed Check,Yes,"(-0.85, 95.09]"
2639,57,18,No,89.44,40,Salary,286035.2,57.0,Research,Female,Divorced,9,13.0,Mailed Check,Yes,"(-0.85, 95.09]"
2640,47,6,Yes,94.22,40,Salary,335977.6,57.0,Marketing,Male,Married,2,17.0,Mailed Check,Yes,"(-0.85, 95.09]"
2641,34,10,Yes,26.4,40,Salary,54912.0,78.0,Marketing,Female,Divorced,2,15.0,Mailed Check,Yes,"(-0.85, 95.09]"
2642,60,13,Yes,45.06,40,Salary,93724.8,55.0,Healthcare,Female,Divorced,1,21.0,Mailed Check,Yes,"(-0.85, 95.09]"
2643,41,5,Yes,49.88,40,Salary,103750.4,86.0,Healthcare,Female,Married,7,9.0,Mailed Check,Yes,"(-0.85, 95.09]"
2644,52,8,No,33.58,40,Salary,40726.4,13.0,Healthcare,Male,Divorced,8,19.0,Mailed Check,Yes,"(-0.85, 95.09]"
2645,60,11,Yes,63.67,40,Salary,132433.6,4.0,Marketing,Male,Married,6,15.0,Mailed Check,Yes,"(-0.85, 95.09]"
2646,40,9,Yes,88.87,40,Salary,284849.6,0.1,Research,Male,Single,1,23.0,Mailed Check,Yes,"(-0.85, 95.09]"
2647,53,14,Yes,96.57,40,Salary,200865.6,9.0,Sales,Female,Divorced,4,5.0,Mailed Check,Yes,"(-0.85, 95.09]"
2648,60,15,No,85.33,40,Salary,177335.2,0.1,Marketing,Female,Divorced,4,5.0,Direct Deposit,Yes,"(-0.85, 95.09]"
2649,56,15,Yes,86.87,40,Salary,280689.6,250.0,Laboratory,Female,Single,4,20.0,Mailed Check,Yes,"(190.08, 285.07]"
2650,38,3,Yes,45.56,40,Salary,94764.8,29.0,Manufacturing,Female,Married,5,15.0,Direct Deposit,Yes,"(-0.85, 95.09]"
2651,61,19,No,53.08,40,Salary,110406.4,250.0,Marketing,Female,Single,2,23.0,Direct Deposit,Yes,"(190.08, 285.07]"
2652,39,2,Yes,80.13,40,Salary,166670.4,64.0,Research,Female,Divorced,4,20.0,Mailed Check,Yes,"(-0.85, 95.09]"
2653,35,1,No,23.65,40,Salary,49332.0,68.0,Laboratory,Female,Single,6,14.0,Mailed Check,Yes,"(-0.85, 95.09]"
2654,44,14,No,74.37,40,Salary,154689.6,65.0,Marketing,Female,Married,3,5.0,Mailed Check,Yes,"(-0.85, 95.09]"
2655,48,15,No,59.78,40,Salary,124342.4,0.1,Sales,Male,Single,1,5.0,Direct Deposit,Yes,"(-0.85, 95.09]"
2656,45,5,No,95.63,40,Salary,338910.4,0.1,Sales,Female,Married,5,10.0,Direct Deposit,Yes,"(-0.85, 95.09]"
2657,44,10,No,32.93,40,Salary,-9705.6,9.0,Marketing,Male,Divorced,7,6.0,Direct Deposit,Yes,"(-0.85, 95.09]"
2658,46,16,Yes,54.09,40,Salary,112507.2,20.0,Research,Male,Single,2,10.0,Mailed Check,Yes,"(-0.85, 95.09]"
2659,40,9,Yes,26.21,40,Salary,54516.8,40.0,Sales,Female,Divorced,6,24.0,Mailed Check,Yes,"(-0.85, 95.09]"
2660,44,15,No,54.07,40,Salary,112465.6,25.0,Manufacturing,Male,Single,2,15.0,Mailed Check,Yes,"(-0.85, 95.09]"
2661,51,15,No,56.71,40,Salary,117956.8,45.0,Laboratory,Male,Divorced,1,20.0,Mailed Check,Yes,"(-0.85, 95.09]"
2662,40,9,No,29.46,40,Salary,61276.8,52.0,Human Resources,Female,Single,3,25.0,Direct Deposit,Yes,"(-0.85, 95.09]"
2663,44,8,Yes,76.36,40,Salary,158828.8,69.0,Research,Female,Divorced,2,25.0,Mailed Check,Yes,"(-0.85, 95.09]"
2664,59,7,Yes,71.0,40,Salary,147680.0,26.0,Laboratory,Female,Single,1,15.0,Mailed Check,Yes,"(-0.85, 95.09]"
2665,49,9,No,93.25,40,Salary,333960.0,84.0,Laboratory,Female,Single,4,9.0,Direct Deposit,Yes,"(-0.85, 95.09]"
2666,37,6,No,26.83,40,Salary,55806.4,250.0,Sales,Female,Divorced,2,6.0,Mailed Check,Yes,"(190.08, 285.07]"
2667,26,3,No,20.83,40,Salary,2326.4,99.0,Research,Female,Married,3,13.0,Mailed Check,Yes,"(95.09, 190.08]"
2668,55,11,No,87.38,40,Salary,281750.4,84.0,Marketing,Female,Single,3,6.0,Mailed Check,Yes,"(-0.85, 95.09]"
2669,41,4,Yes,55.5,40,Salary,115440.0,59.0,Marketing,Female,Married,5,6.0,Mailed Check,Yes,"(-0.85, 95.09]"
2670,52,14,No,76.58,40,Salary,159286.4,45.0,Research,Female,Married,8,15.0,Mailed Check,Yes,"(-0.85, 95.09]"
2671,25,3,Yes,20.27,40,Salary,42161.6,0.1,Research,Male,Single,1,22.0,Mailed Check,Yes,"(-0.85, 95.09]"
2672,37,9,No,28.49,40,Salary,38459.2,62.0,Healthcare,Female,Divorced,3,21.0,Mailed Check,Yes,"(-0.85, 95.09]"
2673,46,14,No,34.58,40,Salary,73326.4,33.0,Healthcare,Female,Divorced,8,15.0,Mailed Check,Yes,"(-0.85, 95.09]"
2674,60,17,No,68.79,40,Salary,143083.2,0.1,Manufacturing,Male,Divorced,2,7.0,Mailed Check,Yes,"(-0.85, 95.09]"
2675,41,6,Yes,82.46,40,Salary,171516.8,89.0,Healthcare,Male,Single,9,13.0,Direct Deposit,Yes,"(-0.85, 95.09]"
2676,32,10,No,24.52,40,Salary,51001.6,35.0,Information Technology,Female,Divorced,1,9.0,Mailed Check,Yes,"(-0.85, 95.09]"
2677,51,14,No,94.51,40,Salary,336580.8,41.0,Information Technology,Female,Divorced,7,22.0,Mailed Check,Yes,"(-0.85, 95.09]"
2678,59,10,No,85.48,40,Salary,177798.4,63.0,Laboratory,Female,Married,1,24.0,Mailed Check,Yes,"(-0.85, 95.09]"
2679,38,8,No,28.78,40,Salary,59862.4,78.0,Sales,Male,Single,4,21.0,Mailed Check,Yes,"(-0.85, 95.09]"
2680,28,4,Yes,23.48,40,Salary,48838.4,55.0,Sales,Male,Single,1,25.0,Mailed Check,Yes,"(-0.85, 95.09]"
2681,61,11,No,55.06,40,Salary,114524.8,0.1,Sales,Female,Single,5,10.0,Mailed Check,Yes,"(-0.85, 95.09]"
2682,40,8,No,47.47,40,Salary,98737.6,0.1,Laboratory,Female,Single,9,15.0,Mailed Check,Yes,"(-0.85, 95.09]"
2683,36,9,No,32.49,40,Salary,67579.2,24.0,Sales,Female,Married,1,17.0,Mailed Check,Yes,"(-0.85, 95.09]"
2684,39,10,No,91.67,40,Salary,330673.6,55.0,Research,Male,Divorced,3,22.0,Mailed Check,Yes,"(-0.85, 95.09]"
2685,31,4,No,24.69,40,Salary,51355.2,82.0,Sales,Female,Single,3,24.0,Direct Deposit,Yes,"(-0.85, 95.09]"
2686,49,19,No,51.48,40,Salary,107078.4,0.1,Sales,Female,Married,7,13.0,Mailed Check,Yes,"(-0.85, 95.09]"
2687,37,3,Yes,39.72,40,Salary,82617.6,0.1,Sales,Male,Married,2,19.0,Mailed Check,Yes,"(-0.85, 95.09]"
2688,23,1,Yes,22.68,40,Salary,47174.4,9.0,Laboratory,Female,Single,2,15.0,Mailed Check,Yes,"(-0.85, 95.09]"
2689,25,3,No,22.68,40,Salary,47174.4,5.0,Sales,Male,Single,1,15.0,Mailed Check,Yes,"(-0.85, 95.09]"
2690,31,3,Yes,24.78,40,Salary,51542.4,21.0,Sales,Female,Single,3,15.0,Mailed Check,Yes,"(-0.85, 95.09]"
2691,53,7,Yes,53.9,40,Salary,112112.0,3.0,Research,Female,Married,6,17.0,Direct Deposit,Yes,"(-0.85, 95.09]"
2692,46,14,Yes,52.15,40,Salary,108472.0,46.0,Marketing,Female,Divorced,6,12.0,Mailed Check,Yes,"(-0.85, 95.09]"
2693,48,13,No,83.29,40,Salary,173243.2,91.0,Information Technology,Female,Married,3,21.0,Direct Deposit,Yes,"(-0.85, 95.09]"
2694,39,1,No,63.63,40,Salary,132350.4,94.0,Sales,Male,Divorced,5,11.0,Mailed Check,Yes,"(-0.85, 95.09]"
2695,49,13,Yes,44.1,40,Salary,91728.0,0.1,Marketing,Female,Married,3,15.0,Mailed Check,Yes,"(-0.85, 95.09]"
2696,35,4,No,29.76,40,Salary,63300.8,97.0,Research,Male,Single,2,15.0,Mailed Check,Yes,"(95.09, 190.08]"
2697,53,8,No,66.46,40,Salary,138236.8,85.0,Healthcare,Female,Divorced,6,15.0,Mailed Check,Yes,"(-0.85, 95.09]"
2698,37,2,No,28.43,40,Salary,59134.4,77.0,Manufacturing,Male,Married,6,25.0,Mailed Check,Yes,"(-0.85, 95.09]"
2699,48,19,No,84.98,40,Salary,176758.4,84.0,Healthcare,Female,Divorced,4,7.0,Mailed Check,Yes,"(-0.85, 95.09]"
2700,55,19,No,52.55,40,Salary,109304.0,53.0,Research,Male,Divorced,7,15.0,Mailed Check,Yes,"(-0.85, 95.09]"
2701,52,6,Yes,55.78,40,Salary,116022.4,7.0,Laboratory,Female,Single,7,15.0,Direct Deposit,No,"(-0.85, 95.09]"
2702,50,20,Yes,60.92,40,Salary,126713.6,0.1,Sales,Female,Single,1,25.0,Mailed Check,Yes,"(-0.85, 95.09]"
2703,55,12,Yes,88.31,40,Salary,283684.8,250.0,Marketing,Female,Married,4,6.0,Mailed Check,Yes,"(190.08, 285.07]"
2704,60,13,No,68.59,40,Salary,142667.2,88.0,Sales,Female,Single,5,15.0,Direct Deposit,No,"(-0.85, 95.09]"
2705,44,19,No,85.08,40,Salary,176966.4,46.0,Marketing,Female,Married,4,21.0,Mailed Check,Yes,"(-0.85, 95.09]"
2706,37,9,Yes,29.02,40,Salary,60361.6,15.0,Healthcare,Female,Single,2,14.0,Mailed Check,Yes,"(-0.85, 95.09]"
2707,31,2,No,30.78,40,Salary,64022.4,45.0,Manufacturing,Male,Single,1,24.0,Mailed Check,Yes,"(-0.85, 95.09]"
2708,33,4,Yes,24.55,40,Salary,51064.0,250.0,Human Resources,Male,Divorced,1,8.0,Mailed Check,No,"(190.08, 285.07]"
2709,53,5,No,71.03,40,Salary,147742.4,39.0,Laboratory,Female,Single,6,15.0,Mailed Check,Yes,"(-0.85, 95.09]"
2710,31,8,No,24.8,40,Salary,51584.0,69.0,Sales,Male,Single,3,15.0,Mailed Check,Yes,"(-0.85, 95.09]"
2711,61,14,No,78.5,40,Salary,163280.0,28.0,Laboratory,Female,Single,4,10.0,Mailed Check,No,"(-0.85, 95.09]"
2712,38,10,No,33.28,40,Salary,69222.4,250.0,Laboratory,Male,Divorced,4,6.0,Mailed Check,Yes,"(190.08, 285.07]"
2713,51,12,Yes,51.68,40,Salary,107494.4,80.0,Sales,Male,Single,3,7.0,Mailed Check,Yes,"(-0.85, 95.09]"
2714,38,9,No,27.0,40,Salary,56160.0,61.0,Research,Male,Married,6,6.0,Mailed Check,Yes,"(-0.85, 95.09]"
2715,40,5,No,33.32,40,Salary,69305.6,59.0,Research,Male,Married,2,20.0,Mailed Check,Yes,"(-0.85, 95.09]"
2716,46,17,Yes,57.76,40,Salary,120140.8,41.0,Marketing,Male,Single,1,21.0,Mailed Check,No,"(-0.85, 95.09]"
2717,36,3,Yes,63.28,40,Salary,131414.4,22.0,Marketing,Male,Divorced,2,8.0,Direct Deposit,Yes,"(-0.85, 95.09]"
2718,29,5,No,24.91,40,Salary,52812.8,39.0,Manufacturing,Female,Single,1,9.0,Mailed Check,Yes,"(-0.85, 95.09]"
2719,51,6,Yes,53.06,40,Salary,110364.8,97.0,Manufacturing,Female,Married,5,15.0,Direct Deposit,Yes,"(95.09, 190.08]"
2720,26,3,No,22.59,40,Salary,46987.2,50.0,Information Technology,Female,Married,1,23.0,Mailed Check,Yes,"(-0.85, 95.09]"
2721,46,7,Yes,33.52,40,Salary,40601.6,250.0,Research,Male,Single,8,19.0,Mailed Check,Yes,"(190.08, 285.07]"
2722,57,20,Yes,67.15,40,Salary,139672.0,0.1,Healthcare,Female,Divorced,8,6.0,Mailed Check,Yes,"(-0.85, 95.09]"
2723,50,13,Yes,93.16,40,Salary,333772.8,16.0,Manufacturing,Female,Single,9,10.0,Mailed Check,Yes,"(-0.85, 95.09]"
2724,51,14,Yes,44.77,40,Salary,93121.6,21.0,Human Resources,Female,Single,4,15.0,Mailed Check,No,"(-0.85, 95.09]"
2725,50,13,No,79.34,40,Salary,165027.2,40.0,Human Resources,Female,Married,4,9.0,Mailed Check,Yes,"(-0.85, 95.09]"
2726,51,8,No,64.71,40,Salary,134596.8,77.0,Human Resources,Female,Single,7,16.0,Mailed Check,Yes,"(-0.85, 95.09]"
2727,56,16,No,94.35,40,Salary,336248.0,2.0,Research,Female,Divorced,7,7.0,Mailed Check,Yes,"(-0.85, 95.09]"
2728,52,10,No,31.64,40,Salary,65811.2,8.0,Sales,Male,Married,8,14.0,Direct Deposit,Yes,"(-0.85, 95.09]"
2729,58,14,No,59.35,40,Salary,123448.0,13.0,Manufacturing,Female,Single,1,18.0,Mailed Check,No,"(-0.85, 95.09]"
2730,41,5,Yes,33.87,40,Salary,41329.6,23.0,Sales,Male,Divorced,3,17.0,Mailed Check,Yes,"(-0.85, 95.09]"
2731,52,9,Yes,47.45,40,Salary,98696.0,58.0,Marketing,Female,Single,5,14.0,Mailed Check,No,"(-0.85, 95.09]"
2732,49,15,No,33.22,40,Salary,39977.6,6.0,Manufacturing,Male,Married,3,14.0,Mailed Check,No,"(-0.85, 95.09]"
